"taxon_rank","Species"
"species","Culiseta incidens"
"species","Culiseta inornata"
"species","Culex tarsalis"
"species","Aedes sierrensis"
"species","Anopheles punctipennis"
"species","Culex pipiens"
"species","Aedes abserratus"
"species","Aedes canadensis"
"species","Aedes cinereus"
"species","Aedes communis"
"species","Aedes diantaeus"
"species","Aedes excrucians"
"species","Aedes intrudens"
"species","Aedes provocans"
"species","Aedes sticticus"
"species","Aedes triseriatus"
"species","Aedes trivittatus"
"species","Aedes vexans"
"species","Coquillettidia perturbans"
"species","Culiseta impatiens"
"subspecies","Aedes canadensis canadensis"
"genus","Aedes sp."
"species","Aedes punctor"
"species","Culex restuans"
"species","Aedes fitchii"
"species","Psorophora ferox"
"species","Anopheles walkeri"
"species","Culiseta melanura"
"species","Anopheles quadrimaculatus"
"species","Culiseta morsitans"
"genus","Culex sp."
"species","Culex erraticus"
"species","Culex salinarius"
"species","Aedes albopictus"
"species","Psorophora columbiae"
"species","Psorophora ciliata"
"species","Aedes hendersoni"
"species","Orthopodomyia signifera"
"species","Anopheles crucians"
"species","Aedes atlanticus"
"genus","Anopheles sp."
"species","Uranotaenia sapphirina"
"species","Aedes zoosophus"
"species","Anopheles pseudopunctipennis"
"species","Culex coronator"
"species","Culex nigripalpus"
"species","Culex quinquefasciatus"
"species","Psorophora cyanescens"
"species","Psorophora discolor"
"species","Psorophora horrida"
"species","Psorophora longipalpus"
"species","Psorophora mathesoni"
"species","Aedes aegypti"
"species","Aedes sollicitans"
"species","Psorophora signipennis"
"species","Aedes nigromaculis"
"species","Mansonia titillans"
"species","Anopheles perplexens"
"species","Aedes epactius"
"species","Anopheles barberi"
"species","Aedes mitchellae"
"species","Aedes dorsalis"
"species","Aedes melanimon"
"species","Aedes flavescens"
"subspecies","Aedes spencerii idahoensis"
"species","Aedes nigripes"
"species","Anopheles franciscanus"
"subspecies","Aedes spencerii spencerii"
"species","Anopheles earlei"
"species","Culiseta minnesotae"
"species","Aedes dupreei"
"species","Aedes infirmatus"
"subspecies","Aedes fulvus pallens"
"species","Culex territans"
"species","Psorophora howardii"
"subspecies","Aedes canadensis mathesoni"
"species","Aedes thibaulti"
"species","Aedes japonicus"
"species","Aedes stimulans"
"species","Aedes grossbecki"
"genus","Culiseta sp."
"species","Aedes aurifer"
"species","Aedes decticus"
"species","Aedes taeniorhynchus"
"species","Aedes tortilis"
"species","Anopheles albimanus"
"species","Culex bahamensis"
"species","Mansonia dyari"
"species","Mansonia flaveola"
"species","Psorophora jamaicensis"
"species","Uranotaenia lowii"
"species","Anopheles vestitipennis"
"species","Culex chidesteri"
"species","Culex taeniopus"
"species","Culex janitor"
"species","Psorophora johnstonii"
"species","Psorophora pygmaea"
"species","Aedes mediovittatus"
"species","Anopheles grabhamii"
"species","Aedes obturbator"
"species","Culex habilitator"
"genus","Psorophora sp."
"species","Anopheles freeborni"
"species","Aedes increpitus"
"species","Aedes cataphylla"
"species","Aedes hexodontus"
"species","Aedes pullatus"
"species","Culiseta alaskaensis"
"species","Aedes pionips"
"species","Aedes impiger"
"species","Aedes spencerii"
"species","Culex peccator"
"species","Aedes campestris"
"species","Aedes niphadopsis"
"genus","Mansonia sp."
"species","Culex elevator"
"species","Aedes implicatus"
"species","Aedes cantator"
"species","Aedes riparius"
"species","Aedes tormentor"
"species","Culex stigmatosoma"
"species","Aedes papago"
"species","Aedes purpureipes"
"species","Aedes thelcter"
"species","Aedes monticola"
"species","Aedes aboriginis"
"species","Aedes nevadensis"
NA,"Culex thriambus"
NA,"Aedes vexans sensu lato"
NA,"Culex erythrothorax"
NA,"Anopheles hermsi"
NA,"Culiseta particeps"
NA,"Aedes washinoi"
NA,"Aedes squamiger"
NA,"Simuliidae"
NA,"Culicoides"
NA,"Chironomidae"
NA,"Ceratopogonidae"
NA,"Anopheles crucians complex"
NA,"Anopheles atropos"
NA,"Anopheles bradleyi"
NA,"Wyeomyia mitchellii"
NA,"Wyeomyia smithii"
NA,"Wyeomyia vanduzeei"
NA,"Aedes fulvus"
NA,"genus Culex"
NA,"genus Aedes"
NA,"Anopheles georgianus"
NA,"genus Anopheles"
NA,"Culex atratus"
NA,"Culex iolambdis"
NA,"Aedes atlanticus-tormentor morphological group"
NA,"Culex mulrennani"
NA,"Culex opisthopus"
NA,"Culex pilosus"
NA,"Melanoconion"
NA,"Aedes bahamensis"
NA,"Culicinae"
NA,"Deinocerites cancer"
NA,"genus Mansonia"
NA,"Orthopodomyia alba"
NA,"genus Orthopodomyia"
NA,"Aedes mathesoni"
NA,"genus Psorophora"
NA,"Toxorhynchites rutilus"
NA,"Toxorhynchites septentrionalis"
NA,"genus Toxothynchites"
NA,"genus Uranotaenia"
NA,"Wyeomyia haynei"
NA,"genus Wyeomyia"
NA,"Culicidae"
NA,"Toxorhynchites rutilus complex"
NA,"Toxorhynchites septentrionalis complex"
NA,"Aedes canadensis complex"
NA,"Aedes vexans vexans"
NA,"genus Coquillettidia"
NA,"genus Culiseta"
NA,"Aedes atropalpus"
NA,"Culex declarator"
NA,"Aedes condolescens"
NA,"Aedes mathesoni complex"
NA,"Psorophora mexicana"
NA,"Psorophora confinnis"
NA,"Culex pipiens morphological group"
NA,"Aedes japonicus complex"
NA,"Aedes spencerii complex"
NA,"Aedes vexans nipponii"
NA,"Aedes japonicus japonicus"
NA,"Aedes vexans arabiensis"
NA,"Culiseta"
NA,"Aedes idahoensis"
NA,"Aedes schizopinax"
NA,"Toxorhynchites"
NA,"Ochlerotatus"
NA,"Psorophora varipes"
NA,"Uranotaenia syntheta complex"
NA,"genus Lutzomyia"
NA,"Culex abominator"
NA,"Culex cuyanus"
